ReferenceElectrode,2.7948828969328616,27.31916808577733,97.36607141097025,reference
Electrode,3.5524462607478178,7.848713228927229,99.49267496237651,1
Electrode,4.049232598786239,46.61450839503824,94.44403105952128,2
Electrode,34.521363343267566,25.599402783770003,91.17747448484772,3
Electrode,34.864763188566265,-15.50064853197816,91.92767402254903,4
Electrode,2.4341611401712715,-34.570908256890945,95.82765804394069,5
Electrode,-26.53794906655767,-11.113129832496,94.26530201906367,6
Electrode,-26.005751478370094,28.012539368819116,92.76615120243038,7
Electrode,3.891838959171512,79.94413119114004,81.84740026921823,8
Electrode,38.117919881420896,65.76286972433775,78.382142561484,9
Electrode,58.14587220184341,36.4618667003033,73.14122964785052,10
Electrode,65.41597615664126,1.3157193004188992,70.08145630598574,11
Electrode,56.43432622307527,-31.34528461233431,72.46457563793088,12
Electrode,33.463216051251834,-56.32323117878305,72.33424892852501,13
Electrode,1.1760084506152317,-65.5206476815762,74.94522485560785,14
Electrode,-30.026072635494412,-55.476870348037274,75.73603784554012,15
Electrode,-53.46739140328358,-28.684935607146983,76.88551049885916,16
Electrode,-58.54104122298758,5.745144821936614,74.02939950193074,17
Electrode,-51.01538131728378,38.42041022188634,73.709934559508,18
Electrode,-29.834091647190185,68.1411463729932,78.32644683534497,19
Electrode,5.155142438902863,104.57074060188751,59.11710570561072,20
Electrode,40.82336490213243,94.95336816367397,56.13310027989346,21
Electrode,63.45349496602975,65.91453486602997,49.44199122231565,22
Electrode,77.27670384245849,31.077667378913045,45.14316189987024,23
Electrode,77.94620842525387,-5.761403817974208,42.91637336005274,24
Electrode,68.3430695510061,-38.4559639033851,42.35006989702648,25
Electrode,49.29403614234319,-62.946349355676084,43.99017797668511,26
Electrode,16.744910539968146,-80.66014813876647,42.55331446524486,27
Electrode,-19.602992066057144,-79.21071994918238,44.639106939070224,28
Electrode,-48.77579283574981,-62.273873448239954,46.36377560297455,29
Electrode,-67.13959643251864,-33.449860159120576,47.808458541816535,30
Electrode,-74.42469299928443,0.8923669444058723,47.83428399621295,31
Electrode,-68.16959237432512,36.99194630171062,47.34594570045028,32
Electrode,-53.8837916054178,73.18960352099211,50.466311862850894,41
Electrode,-29.45456209816975,97.1104344328646,54.85067315480934,42
Electrode,2.546628712931993,115.53376389785667,34.188283190213696,43
Electrode,40.03748928733834,107.44874380894602,29.769527662418554,44
Electrode,66.50953113247517,80.78333122282186,20.645157438772422,45
Electrode,79.18181951380937,47.67709658067704,17.382411900032967,46
Electrode,82.07646189365887,9.704970482040517,12.124225759858998,47
Electrode,76.52150087927593,-27.088384994957696,12.0734516658941,48
Electrode,61.97247999127317,-60.81320446598469,11.601151903088875,49
Electrode,30.909369980831805,-83.4902183176786,12.725372969757219,50
Electrode,-3.2769938772758995,-91.77474114829145,9.505457766377072,51
Electrode,-36.19960245474449,-83.37950900981224,14.088473331411391,52
Electrode,-62.890926094459466,-59.18707755983352,16.061182394640266,53
Electrode,-75.95758544134709,-26.915957626662074,17.17612936896329,54
Electrode,-78.22738278723405,9.134314388187121,16.951121811518778,55
Electrode,-72.79150357042566,46.593867044535365,20.77932627174649,56
Electrode,-58.96202758201633,82.20208565588382,22.367057694092328,57
Electrode,-31.907767616653118,107.8477404000188,27.111051580165093,58
Electrode,76.33312474467975,63.80645239435312,-11.438422692050773,59
Electrode,79.02529291140424,24.779442290617222,-16.97162568400665,60
Electrode,77.79929018601672,-25.50811024799125,-14.540831245381376,61
Electrode,62.26175015762218,-57.599691260477194,-17.61503976582446,62
Electrode,32.13814877353477,-80.34511616151887,-20.129908786805462,63
Electrode,-0.5814819927166508,-88.46022935936833,-23.212776257439884,64
Electrode,-35.4011332241335,-81.18437181942788,-18.324332324088033,65
Electrode,-63.8439158832013,-57.47949748798842,-15.08123728355506,66
Electrode,-76.76540869044707,-26.268459211805983,-12.499460153026472,67
Electrode,-75.96472239498631,18.56842856065544,-14.37678644916414,68
Electrode,-73.0095519812798,60.70284310376363,-8.791903961842968,69
Electrode,-76.06276087781211,33.96978304877431,-40.218913938349104,70
Electrode,79.27675283319967,36.707320654075914,-42.75840327633037,71
